Folder_Name,Offset
34_0007950_0007974-reel_begin_end,29
34_0007975_0007999-reel_begin_end,6
34_0008000_0008024-reel_begin_end,31
34_0008025_0008049-reel_begin_end,29
34_0008050_0008074-reel_begin_end,8
34_0008075_0008099-reel_begin_end,25
34_0008175_0008199-reel_begin_end,34
34_0008275_0008299-reel_begin_end,32
34_0008300_0008324-reel_begin_end,20
34_0008425_0008449-reel_begin_end,28
34_0008475_0008499-reel_begin_end,0
34_0012225_0012249-reel_begin_end,29
34_0012250_0012274-reel_begin_end,31
34_0012275_0012299-reel_begin_end,31
34_0012325_0012349-reel_begin_end,26
34_0012350_0012374-reel_begin_end,26
34_0012375_0012399-reel_begin_end,27
34_0012400_0012424-reel_begin_end,20
34_0012425_0012449-reel_begin_end,25
34_0012450_0012474-reel_begin_end,33
34_0012475_0012499-reel_begin_end,24
34_0012500_0012524-reel_begin_end,25
34_0012525_0012549-reel_begin_end,22
34_0012550_0012574-reel_begin_end,32
34_0012575_0012599-reel_begin_end,21
34_0013650_0013674-reel_begin_end,34
34_0013675_0013699-reel_begin_end,36
34_0013700_0013724-reel_begin_end,24
34_0013725_0013749-reel_begin_end,21
34_0013750_0013774-reel_begin_end,32
34_0013775_0013799-reel_begin_end,26
34_0013800_0013824-reel_begin_end,30
34_0013825_0013849-reel_begin_end,24
34_0013850_0013874-reel_begin_end,26
34_0013875_0013899-reel_begin_end,27
34_0013900_0013924-reel_begin_end,23
34_0013925_0013949-reel_begin_end,29
34_0013950_0013974-reel_begin_end,19
34_0013975_0013999-reel_begin_end,21
34_0014000_0014024-reel_begin_end,34
34_0014025_0014049-reel_begin_end,27
34_0014050_0014074-reel_begin_end,30
34_0014075_0014099-reel_begin_end,21
34_0014125_0014149-reel_begin_end,28
34_0014150_0014174-reel_begin_end,16
34_0014175_0014199-reel_begin_end,16
34_0014200_0014224-reel_begin_end,20
34_0014225_0014249-reel_begin_end,27
34_0014250_0014274-reel_begin_end,30
